Semester,Course Code,Course Name,Credits,Prerequisites,Type
8. Yarıyıl,END 488E,ERP Processes and Installation,3,Yok,Elective Functional
8. Yarıyıl,ISL 224E,Cost Accounting,3,Yok,Elective Functional
8. Yarıyıl,ISL 452E,Financial Inst.&Portfolio Mng.,3,ISL 333E MIN DD veya ISL 333 MIN DD veya END 424 MIN DD veya END 424E MIN DD veya ECN 309E MIN DD,Elective Functional
8. Yarıyıl,ISL 460E,E-Marketing,3,ISL 353E MIN DD veya ISL 353 MIN DD veya END 433 MIN DD veya END 433E MIN DD,Elective Functional
8. Yarıyıl,KON 322E,Industrial Automated Systems,3,BLG 231 MIN DD veya BLG 231E MIN DD,Elective Functional
8. Yarıyıl,KON 324E,Sensors&Transducers in Contr.,3,Yok,Elective Functional
8. Yarıyıl,END 317E,Database Manag. & Big Data,3,BIL 102 MIN DD veya BIL 102CE MIN DD veya BIL 102E MIN DD veya BIL 102FE MIN DD veya BIL 104E MIN DD veya BIL 105E MIN DD veya BIL 106E MIN DD veya BIL 100E MIN DD veya BIL 110E MIN DD veya BIL 110 MIN DD veya MAT 115E MIN DD veya VBA 113E MIN DD,Elective Analytic
8. Yarıyıl,END 318E,System Dynamics,3,END 211 MIN DD veya END 211E MIN DD veya END 215 MIN DD veya END 215E MIN DD,Elective Analytic
8. Yarıyıl,END 336E,Product Development,3,Yok,Elective Analytic
8. Yarıyıl,END 339E,Project Management,3,Yok,Elective Analytic
8. Yarıyıl,END 424E,Financial Management,3,ISL 224 MIN DD veya ISL 224E MIN DD veya END 222 MIN DD veya END 222E MIN DD,Elective Analytic
8. Yarıyıl,END 446E,Statistical Experimental Design,3,(END 252E MIN DD veya END 252 MIN DD veya VBA 252E MIN DD) ve (END 311 MIN DD veya END 311E MIN DD veya VBA 311E MIN DD),Elective Analytic
8. Yarıyıl,END 458E,Nonlinear Optimization,3,END 311 MIN DD veya END 311E MIN DD veya ISL 323 MIN DD veya ISL 323E MIN DD veya VBA 211E MIN DD,Elective Analytic
8. Yarıyıl,END 474E,Supply Chain Analytics,3,END 331 MIN DD veya END 331E MIN DD veya VBA 211E MIN DD,Elective Analytic
8. Yarıyıl,END 476E,Machine Learning for Ind. Sys.,3,(END 311 MIN DD veya END 311E MIN DD veya ECN 211E MIN DD veya ECN 209E MIN DD) ve (MAT 210 MIN DD veya MAT 210E MIN DD veya END 210 MIN DD veya END 210E MIN DD veya ECN 207E MIN DD),Elective Analytic
8. Yarıyıl,END 478E,Applied Optimization Models,3,Yok,Elective Analytic
8. Yarıyıl,END 480E,Reliability Engineering,3,END 311 MIN DD veya END 311E MIN DD,Elective Analytic
8. Yarıyıl,END 482E,Supply Chain Management,3,END 421 MIN DD veya END 421E MIN DD,Elective Analytic
