Semester,Course Code,Course Name,Credits,Prerequisites,Type
5. Yarıyıl,END 451E,Logistics Management,3,(END 331 MIN DD veya END 331E MIN DD) ve (END 252 MIN DD veya END 252E MIN DD),Elective Functional
5. Yarıyıl,END 453E,Indus.4.0 & Digital Transform.,3,Yok,Elective Functional
5. Yarıyıl,END 473E,Pricing and Revenue Management,3,(END 331 MIN DD veya END 331E MIN DD) ve (END 312 MIN DD veya END 312E MIN DD),Elective Functional
5. Yarıyıl,END 475E,Feasibility Studies,3,END 312 MIN DD veya END 312E MIN DD,Elective Functional
5. Yarıyıl,BLG 231E,Digital Circuits,3,Yok,Elective Analytic
5. Yarıyıl,EHB 420E,Artificial Neural Networks,3,MAT 281 MIN DD veya MAT 281E MIN DD veya EEF 281 MIN DD veya EEF 281E MIN DD,Elective Analytic
5. Yarıyıl,END 327E,Decision Theory,3,(END 252E MIN DD veya END 252 MIN DD veya ECN 211E MIN DD veya ECN 209E MIN DD veya VBA 252E MIN DD) ve (END 331 MIN DD veya END 331E MIN DD veya ECN 211E MIN DD veya ECN 209E MIN DD veya VBA 311E MIN DD),Elective Analytic
5. Yarıyıl,END 357E,Management Information Systems,3,END 213E MIN DD ve (END 211 MIN DD veya END 211E MIN DD veya END 215 MIN DD veya END 215E MIN DD),Elective Analytic
5. Yarıyıl,END 369E,Game Theory,3,(END 252 MIN DD veya VBA 252E MIN DD) ve (END 331 MIN DD veya END 331E MIN DD veya VBA 211E MIN DD),Elective Analytic
5. Yarıyıl,END 443E,Business Planning & Innovation,3,Yok,Elective Analytic
5. Yarıyıl,END 447E,Network Models,3,END 331 MIN DD veya END 331E MIN DD veya VBA 211E MIN DD,Elective Analytic
5. Yarıyıl,END 448E,Intr. to Stochastic Modell.,3,Yok,Elective Analytic
5. Yarıyıl,END 457E,Heuristic Optimization,3,END 331 MIN DD veya END 331E MIN DD veya VBA 211E MIN DD,Elective Analytic
5. Yarıyıl,END 471E,Marketing & CRM Analytics,3,END 311 MIN DD veya END 311E MIN DD veya VBA 311E MIN DD,Elective Analytic
5. Yarıyıl,END 493E,Applied Statistics,3,END 311 MIN DD veya END 311E MIN DD veya VBA 311E MIN DD,Elective Analytic
5. Yarıyıl,MAT 343E,Time Series Analysis,3,MAT 244 MIN DD veya MAT 244E MIN DD,Elective Analytic
